routenum,eta,distance,route,time
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:01:53 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:01:53 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:02:05 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:02:05 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:02:17 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:02:17 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:02:29 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:02:29 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:02:42 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:02:42 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:02:54 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:02:54 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:03:07 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:03:07 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:03:19 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:03:19 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:03:31 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:03:31 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:03:44 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:03:44 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:03:56 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:03:56 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:04:09 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:04:09 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:04:21 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:04:21 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:04:34 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:04:34 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:04:46 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:04:46 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:04:59 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:04:59 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:05:11 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:05:11 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:05:24 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:05:24 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:05:36 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:05:36 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:06:23 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:06:23 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:06:37 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:06:37 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:06:49 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:06:49 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:07:02 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:07:02 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:07:13 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:07:13 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:07:25 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:07:25 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:07:38 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:07:38 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:07:51 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:07:51 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:08:03 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:08:03 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:08:15 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:08:15 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:08:27 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:08:27 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:08:39 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:08:39 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:08:51 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:08:51 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:09:03 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:09:03 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:09:15 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:09:15 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:09:27 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:09:27 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:09:40 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:09:40 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:09:51 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:09:51 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:10:04 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:10:04 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:10:16 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:10:16 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:10:28 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:10:28 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:10:41 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:10:41 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:10:53 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:10:53 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:11:05 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:11:05 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:11:17 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:11:17 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:11:29 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:11:29 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:11:42 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:11:42 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:11:54 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:11:54 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:12:06 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:12:06 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:12:18 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:12:18 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:12:30 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:12:30 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:12:43 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:12:43 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:12:55 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:12:55 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:13:07 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:13:07 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:13:20 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:13:20 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:13:32 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:13:32 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:13:44 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:13:44 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:13:56 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:13:56 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:14:08 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:14:08 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:14:20 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:14:20 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:14:33 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:14:33 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:14:45 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:14:45 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:14:57 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:14:57 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:15:09 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:15:09 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:15:21 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:15:21 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:15:35 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:15:35 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:15:47 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:15:47 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:15:59 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:15:59 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:16:12 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:16:12 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:16:26 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:16:26 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:16:38 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:16:38 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:16:50 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:16:50 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:17:02 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:17:02 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:17:15 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:17:15 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:17:27 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:17:27 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:17:40 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:17:40 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:17:52 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:17:52 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:18:06 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:18:06 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:18:18 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:18:18 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:18:30 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:18:30 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:18:42 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:18:42 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:18:54 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:18:54 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:19:06 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:19:06 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:19:19 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:19:19 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:19:31 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:19:31 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:19:45 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:19:45 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:19:57 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:19:57 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:20:09 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:20:09 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:20:22 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:20:22 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:20:34 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:20:34 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:20:46 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:20:46 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:21:01 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:21:01 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:21:14 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:21:14 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:21:26 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:21:26 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:21:39 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:21:39 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:21:51 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:21:51 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:22:03 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:22:03 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:22:15 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:22:15 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:22:27 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:22:27 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:22:40 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:22:40 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:22:52 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:22:52 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:23:04 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:23:04 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:23:17 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:23:17 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:23:29 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:23:29 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:23:42 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:23:42 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:23:53 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:23:53 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:24:06 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:24:06 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:24:18 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:24:18 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:24:31 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:24:31 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:24:43 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:24:43 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:24:55 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:24:55 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:25:07 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:25:07 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:25:20 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:25:20 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:25:32 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:25:32 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:25:44 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:25:44 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:25:56 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:25:56 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:26:08 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:26:08 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:26:20 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:26:20 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:26:32 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:26:32 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:26:45 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:26:45 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:26:58 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:26:58 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:27:10 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:27:10 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:27:24 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:27:24 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:27:36 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:27:36 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:27:48 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:27:48 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:28:00 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:28:00 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:28:13 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:28:13 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:28:25 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:28:25 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:28:37 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:28:37 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:28:49 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:28:49 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:29:01 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:29:01 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:29:13 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:29:13 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:29:25 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:29:25 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:29:38 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:29:38 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:29:50 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:29:50 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:30:02 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:30:02 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:30:15 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:30:15 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:30:29 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:30:29 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:30:41 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:30:41 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:30:53 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:30:53 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:31:05 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:31:05 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:31:17 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:31:17 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:31:29 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:31:29 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:31:42 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:31:42 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:31:54 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:31:54 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:32:07 2018"
2,"21 min","21.4 miles","I-15 S Temecula; Old Hwy 395 Fallbrook","Fri Sep 28 14:32:07 2018"
1,"17 min","21 miles","I-15 S","Fri Sep 28 14:32:19 2018"
