routenum,eta,distance,route,time
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:44:45 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:45:01 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:45:21 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:45:42 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:45:59 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:46:16 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:46:37 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:47:01 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:47:22 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 00:47:43 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:48:04 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:48:25 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:48:39 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:48:55 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:49:14 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:49:35 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:49:51 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:50:11 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:50:26 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:50:41 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:50:57 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:51:13 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:51:33 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:51:51 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:52:12 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:52:33 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:52:51 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:53:11 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:53:32 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:53:53 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:54:11 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:54:31 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:54:52 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:55:05 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:55:22 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:55:42 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:56:02 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:56:20 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:56:42 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:57:02 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:57:24 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:57:43 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:57:59 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:58:14 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:58:32 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:58:53 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:59:12 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:59:34 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 00:59:54 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:00:16 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:00:35 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:00:55 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:01:15 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:01:35 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:01:54 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:02:07 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:02:25 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:02:46 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:03:07 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:03:21 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:03:36 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:03:53 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:04:12 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:04:33 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:04:52 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:05:13 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:05:34 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:05:55 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:06:17 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:06:38 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:06:58 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:07:17 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:07:38 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:07:57 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:08:16 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:08:36 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:08:56 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:09:09 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:09:26 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:09:44 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:10:06 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:10:24 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:10:45 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:11:04 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:11:24 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:11:43 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:12:01 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:12:16 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:12:34 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:12:54 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:13:13 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:13:28 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:13:44 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:14:02 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:14:19 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:14:38 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:14:58 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:15:19 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:15:39 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:15:53 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:16:11 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:16:32 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:16:52 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:17:12 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:17:36 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:17:49 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:18:07 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:18:25 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:18:44 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:19:02 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:19:21 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:19:34 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:19:52 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:20:13 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:20:33 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:20:52 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:21:12 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:21:32 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:21:53 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:22:13 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:22:35 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:22:55 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:23:16 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:23:39 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:23:57 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:24:11 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:24:28 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:24:47 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:25:05 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:25:25 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:25:46 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:26:04 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:26:24 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:26:41 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:27:02 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:27:15 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:27:34 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:27:53 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:28:08 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:28:22 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:28:40 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:29:00 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:29:19 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:29:41 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:30:03 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:30:17 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:30:33 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:30:54 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:31:14 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:31:35 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:31:55 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:32:09 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:32:25 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:32:41 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:33:02 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:33:15 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:33:33 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:33:47 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:34:01 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:34:18 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:34:38 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:34:58 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:35:14 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:35:31 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:35:48 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:36:01 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:36:18 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:36:39 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:36:59 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:37:19 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:37:41 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:38:01 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:38:22 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:38:42 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:38:58 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:39:16 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:39:36 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:39:55 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:40:11 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:40:25 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:40:39 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:40:53 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:41:08 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:41:24 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:41:44 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:42:04 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:42:24 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:42:45 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:43:06 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:43:22 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:43:40 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:43:54 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:44:08 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:44:21 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:44:39 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:45:00 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:45:21 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:45:42 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:46:03 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:46:23 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:46:45 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:46:58 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:47:15 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:47:30 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:47:44 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:48:02 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:48:22 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:48:37 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:48:51 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:49:09 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:49:30 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:49:51 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:50:13 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:50:31 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:50:52 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:51:11 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:51:31 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:51:51 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:52:11 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:52:31 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:52:52 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:53:12 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:53:32 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:53:52 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:54:11 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:54:31 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:54:45 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:55:02 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 01:55:23 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:55:43 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:56:04 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:56:25 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:56:47 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:57:07 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:57:27 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:57:43 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:58:01 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:58:22 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:58:43 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:58:57 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:59:11 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:59:29 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 01:59:50 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:00:10 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:00:24 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:00:42 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:00:57 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:01:11 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:01:28 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:01:47 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:02:06 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:02:25 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:02:45 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:03:05 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:03:20 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:03:34 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:03:48 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:04:05 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:04:26 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:04:46 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:05:06 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:05:28 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:05:48 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:06:08 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:06:28 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:06:45 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 02:07:02 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 02:07:19 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 02:07:37 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 02:07:57 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 02:08:14 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 02:08:28 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 02:08:43 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 02:08:59 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 02:09:15 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 02:09:35 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 02:09:55 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 02:10:15 2018"
1,"16 min","16.3 miles","I-90 E","Wed Sep 26 02:10:29 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:10:47 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:11:02 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:11:16 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:11:34 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:11:53 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:12:13 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:12:32 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:12:52 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:13:12 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:13:32 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:13:51 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:14:11 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:14:32 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:14:54 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:15:13 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:15:27 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:15:44 2018"
1,"17 min","16.3 miles","I-90 E","Wed Sep 26 02:16:01 2018"
